value
SS18-SSX4B
SS18-USP6
SS18L1-SSX1
STRN-ALK
TADA2A-MAST1
TBL1XR1-TP63
TCEA1-PLAG1
TCF12-NR4A3
TCF3-PBX1
TECTA-TBCEL
TFG-ALK
TFG-NR4A3
TFG-NTRK1
THRAP3-USP6
TP53-NTRK1
TPM3-ROS1
TPR-ALK
TPR-NTRK1
TRIM24-BRAF
TRIM24-RET
TRIM27-RET
TRIM33-RET
VCL-ALK
VTI1A-TCF7L2
WDCP-ALK
YWHAE-NUTM2A
YWHAE-NUTM2B
ZC3H7B-BCOR
ZCCHC8-ROS1
ACBD6-RRP15
ARFIP1-FHDC1
ASPSCR1-TFE3
ATG4C-FBXO38
CANT1-ETV4
CARS-ALK
CDKN2D-WDFY2
CHCHD7-PLAG1
CIC-DUX4
CIC-FOXO4
CLIP1-ROS1
CLTC-ALK
CLTC-TFE3
CNBP-USP6
CRTC1-MAML2
CTNNB1-PLAG1
ERC1-RET
ERC1-ROS1
ESRP1-RAF1
EWSR1-ATF1
EWSR1-CREB1
EWSR1-DDIT3
EWSR1-ERG
EWSR1-ETV1
EWSR1-ETV4
EWSR1-FEV
EWSR1-FLI1
EWSR1-MYB
EWSR1-NFATC1
EWSR1-NFATC2
EWSR1-NR4A3
EWSR1-PATZ1
EWSR1-PBX1
EWSR1-POU5F1
EWSR1-SMARCA5
EWSR1-SP3
EWSR1-WT1
EWSR1-YY1
EWSR1-ZNF384
EWSR1-ZNF444
FGFR1-PLAG1
FGFR1-TACC1
FGFR1-ZNF703
FGFR3-BAIAP2L1
FGFR3-TACC3
FN1-ALK
GPBP1L1-MAST2
HERPUD1-BRAF
HEY1-NCOA2
HLA-ROS1
HMGA2-ALDH2
HMGA2-CCNB1IP1
HMGA2-COX6C
HMGA2-EBF1
HMGA2-FHIT
HMGA2-LHFPL6
HMGA2-LPP
HMGA2-NFIB
HMGA2-RAD51B
HMGA2-WIF1
HNRNPA2B1-ETV1
KIAA1549-BRAF
KLC1-ALK
MIA2-GEMIN2
NACC2-NTRK2
NDRG1-ERG
NFIA-EHF
NFIX-MAST1
NPM1-ALK
PAX8-PPARG
PPFIBP1-ALK
PPFIBP1-ROS1
PRKAR1A-RET
PTPRK-RSPO3
PWWP2A-ROS1
SEC31A-ALK
SEC31A-JAK2
SEPT8-AFF4
SET-NUP214
SHTN1-ROS1
SSBP2-JAK2
SSH2-SUZ12
STIL-TAL1
SUSD1-PTBP3
TAF15-NR4A3
TMPRSS2-ERG
TMPRSS2-ETV1
TMPRSS2-ETV4
TMPRSS2-ETV5
TPM3-ALK
TPM3-NTRK1
TPM4-ALK
UBE2L3-KRAS
ZNF700-MAST1
ZSCAN30-BRAF
ETV1-ACSL3
GLI1-ACTB
MCPH1-AGPAT5
BRAF-AGTRAP
BRAF-AKAP9
MAST2-ARID1A
ALK-ATIC
PKD1L1-BBS9
ABL1-BCR
JAK2-BCR
NUTM1-BRD3
NUTM1-BRD4
GLIS2-CBFA2T3
RET-CCDC6
NRG1-CD74
ROS1-CD74
USP6-CDH11
KMT2A-CENPK
BRAF-CEP89
BRAF-CLCN6
PDGFB-COL1A1
USP6-COL1A1
PLAG1-COL1A2
MAML2-CRTC3
ALK-DCTN1
ETV4-DDX5
RHEBL1-DHH
PRKACA-DNAJB1
RSPO2-EIF3E
CYP39A1-EIF3K
ALK-EML4
PHF1-EPC1
FERMT2-ERO1A
ABL1-ETV6
ITPR2-ETV6
JAK2-ETV6
NTRK3-ETV6
PDGFRB-ETV6
RUNX1-ETV6
ERBB4-EZR
ROS1-EZR
BRAF-FAM131B
RNF216-FBXL18
BRAF-FCHSD1
ATF1-FUS
CREB3L1-FUS
CREB3L2-FUS
DDIT3-FUS
ERG-FUS
FEV-FUS
BRAF-GATM
PDE8B-GMDS
BRAF-GNAI1
RET-GOLGA5
ROS1-GOPC
RAF1-HACL1
PLAG1-HAS2
ALK-HIP1
A-HLA
RET-HOOK3
ATP8B2-IL6R
GAB2-INTS4
CDX1-IRF2BP2
PHF1-JAZF1
SUZ12-JAZF1
USH1G-JPT1
ALK-KIF5B
RET-KIF5B
ETV1-KLK2
ETV4-KLK2
ABI1-KMT2A
ABI2-KMT2A
ACTN4-KMT2A
AFDN-KMT2A
AFF1-KMT2A
AFF3-KMT2A
AFF4-KMT2A
ARHGAP26-KMT2A
ARHGEF12-KMT2A
BTBD18-KMT2A
CASP8AP2-KMT2A
CBL-KMT2A
CEP170B-KMT2A
CIP2A-KMT2A
CREBBP-KMT2A
CT45A2-KMT2A
DAB2IP-KMT2A
EEFSEC-KMT2A
ELL-KMT2A
EP300-KMT2A
EPS15-KMT2A
FOXO3-KMT2A
FOXO4-KMT2A
FRYL-KMT2A
GAS7-KMT2A
GMPS-KMT2A
GPHN-KMT2A
KNL1-KMT2A
LASP1-KMT2A
LPP-KMT2A
MAPRE1-KMT2A
MLLT1-KMT2A
MLLT10-KMT2A
MLLT11-KMT2A
MLLT3-KMT2A
MLLT6-KMT2A
MYO1F-KMT2A
NCKIPSD-KMT2A
NRIP3-KMT2A
PDS5A-KMT2A
PICALM-KMT2A
PRRC1-KMT2A
SARNP-KMT2A
SEPT2-KMT2A
SEPT5-KMT2A
SEPT6-KMT2A
SEPT9-KMT2A
SH3GL1-KMT2A
SORBS2-KMT2A
TET1-KMT2A
TOP3A-KMT2A
ZFYVE19-KMT2A
RET-KTN1
PLAG1-LIFR
NTRK1-LMNA
ROS1-LRIG3
BRAF-LSM14A
PRKCE-MBOAT2
CXorf67-MBTD1
PHF1-MEAF6
BRAF-MKRN1
ETV6-MN1
ALK-MSN
NFIB-MYB
ROS1-MYO5A
STAT6-NAB2
RET-NCOA4
ASIC2-NF1
TFE3-NONO
GABBR2-NOTCH1
ACLY-NTN1
LGR5-NUP107
ABL1-NUP214
KDM5A-NUP98
USP6-OMD
FOXO1-PAX3
NCOA1-PAX3
NCOA2-PAX3
JAK2-PAX5
FOXO1-PAX7
JAK2-PCM1
RET-PCM1
RBMS1-PLA2R1
TMCC1-PLXND1
RARA-PML
TFE3-PRCC
NTRK2-QKI
DAZL-RAF1
ALK-RANBP2
PACS1-RBM14
RET-RELCH
SYCP1-RGS22
BRAF-RNF130
RUNX1T1-RUNX1
ROS1-SDC4
NOTCH1-SEC16A
TFE3-SFPQ
CUTA-SLC22A1
PRKAR2A-SLC26A6
ROS1-SLC34A2
NRG1-SLC3A2
BRAF-SLC45A3
ELK4-SLC45A3
ERG-SLC45A3
ETV1-SLC45A3
ETV5-SLC45A3
BRAF-SND1
ALK-SQSTM1
RAF1-SRGAP3
SSX1-SS18
SSX2-SS18
SSX4B-SS18
USP6-SS18
SSX1-SS18L1
ALK-STRN
MAST1-TADA2A
TP63-TBL1XR1
PLAG1-TCEA1
NR4A3-TCF12
PBX1-TCF3
TBCEL-TECTA
ALK-TFG
NR4A3-TFG
NTRK1-TFG
USP6-THRAP3
NTRK1-TP53
ROS1-TPM3
ALK-TPR
NTRK1-TPR
BRAF-TRIM24
RET-TRIM24
RET-TRIM27
RET-TRIM33
ALK-VCL
TCF7L2-VTI1A
ALK-WDCP
NUTM2A-YWHAE
NUTM2B-YWHAE
BCOR-ZC3H7B
ROS1-ZCCHC8
RRP15-ACBD6
FHDC1-ARFIP1
TFE3-ASPSCR1
FBXO38-ATG4C
ETV4-CANT1
ALK-CARS
WDFY2-CDKN2D
PLAG1-CHCHD7
DUX4-CIC
FOXO4-CIC
ROS1-CLIP1
ALK-CLTC
TFE3-CLTC
USP6-CNBP
MAML2-CRTC1
PLAG1-CTNNB1
RET-ERC1
ROS1-ERC1
RAF1-ESRP1
ATF1-EWSR1
CREB1-EWSR1
DDIT3-EWSR1
ERG-EWSR1
ETV1-EWSR1
ETV4-EWSR1
FEV-EWSR1
FLI1-EWSR1
MYB-EWSR1
NFATC1-EWSR1
NFATC2-EWSR1
NR4A3-EWSR1
PATZ1-EWSR1
PBX1-EWSR1
POU5F1-EWSR1
SMARCA5-EWSR1
SP3-EWSR1
WT1-EWSR1
YY1-EWSR1
ZNF384-EWSR1
ZNF444-EWSR1
PLAG1-FGFR1
TACC1-FGFR1
ZNF703-FGFR1
BAIAP2L1-FGFR3
TACC3-FGFR3
ALK-FN1
MAST2-GPBP1L1
BRAF-HERPUD1
NCOA2-HEY1
ROS1-HLA
ALDH2-HMGA2
CCNB1IP1-HMGA2
COX6C-HMGA2
EBF1-HMGA2
FHIT-HMGA2
LHFPL6-HMGA2
LPP-HMGA2
NFIB-HMGA2
RAD51B-HMGA2
WIF1-HMGA2
ETV1-HNRNPA2B1
BRAF-KIAA1549
ALK-KLC1
GEMIN2-MIA2
NTRK2-NACC2
ERG-NDRG1
EHF-NFIA
MAST1-NFIX
ALK-NPM1
PPARG-PAX8
ALK-PPFIBP1
ROS1-PPFIBP1
RET-PRKAR1A
RSPO3-PTPRK
ROS1-PWWP2A
ALK-SEC31A
JAK2-SEC31A
AFF4-SEPT8
NUP214-SET
ROS1-SHTN1
JAK2-SSBP2
SUZ12-SSH2
TAL1-STIL
PTBP3-SUSD1
NR4A3-TAF15
ERG-TMPRSS2
ETV1-TMPRSS2
ETV4-TMPRSS2
ETV5-TMPRSS2
ALK-TPM3
NTRK1-TPM3
ALK-TPM4
KRAS-UBE2L3
MAST1-ZNF700
BRAF-ZSCAN30
